Adularia,KAlSi3O8
Saponite,Ca0.25(MgFe)3((SiAl)4O10)(OH)2 · nH2O
Sapphire,Al2O3
Sapphirine-1A,(MgAlFe2+)8[(AlSiFe3+)6O18]O2
Sapphirine,Mg4(Mg3Al9)O4[Si3Al9O36]
Sarabauite,CaSb3+10S6O10
Sarcolite,Na4Ca12Al8Si12O46(SiO4PO4)(OHH2O)4(CO3Cl)
Sarcopside,(Fe2+Mn2+Mg)3(PO4)2
Sarkinite,Mn2+2(AsO4)(OH)
Sarmientite,Fe3+2(AsO4)(SO4)(OH) · 5H2O
Sartorite,PbAs2S4
Saryarkite-(Y),Ca(YTh)Al5(SiO4)2(PO4SO4)2(OH)7 · 6H2O
Sasaite,(AlFe3+)14(PO4)11(SO4)(OH)7 · 83H2O
Sassolite,H3BO3
Satimolite,KNa2(Al5Mg2)[B12O18(OH)12](OH)6Cl4·4H2O
Satpaevite,Al12V4+2V5+6O37 · 30H2O
Satterlyite,(Fe2+MgFe)12(PO4)5(PO3OH)(OHO)6
Sauconite,Na0.3Zn3((SiAl)4O10)(OH)2 · 4H2O
Sayrite,Pb2(UO2)5O6(OH)2 · 4H2O
Sazhinite-(Ce),Na2CeSi6O14•6H2O
Sazykinaite-(Y),Na5YZr[SiO3]6 · 6H2O
Sborgite,Na[B5O6(OH)4] · 3H2O
Scacchite,MnCl2
Scarbroite,Al5(CO3)(OH)13 · 5H2O
Scawtite,Ca7(Si3O9)2CO3 · 2H2O
Schachnerite,Ag1.1Hg0.9
Schafarzikite,Fe2+Sb3+2O4
Schairerite,Na21(SO4)7ClF6
Schallerite,Mn2+16As3Si12O36(OH)17
Schapbachite,Ag0.4Pb0.2Bi0.4S
Schaurteite,Ca3Ge(SO4)2(OH)6 · 4H2O
Scheelite,Ca(WO4)
Schefferite,(CaMn)(MgFeMn)Si2O6
Scherbinaite,V5+2O5
Schernikite,KAl2(AlSi3O10)(OH)2
Schertelite,(NH4)2MgH2(PO4)2 · 4H2O
Scheteligite,(CaFeMnSbBiY)2(TiTaNbW)2(OOH)7
Schieffelinite,Pb10Te6+6O20(OH)14(SO4)(H2O)5
Schirmerite,PbAgBi3S6 - Pb3Ag1.5Bi3.5S9
Schlossmacherite,(H3O)Al3(SO4)2(OH)6
Schmiederite,Pb2Cu2(Se6+O4)(Se4+O3)(OH)4
Schmitterite,(UO2)(TeO3)
Schneiderhöhnite,Fe2+Fe3+3As3+5O13
Schoderite,Al2(PO4)(VO4) · 8H2O
Schoenfliesite,Mg[Sn(OH)6]
Schoepite,(UO2)8O2(OH)12 · 12H2O
Schoharite,BaSO4
Scholzite,CaZn2(PO4)2 · 2H2O
Schoonerite,ZnMn2+Fe2+2Fe3+(PO4)3(OH)2 · 9H2O
Schorl,Na(Fe2+3)Al6(Si6O18)(BO3)3(OH)3(OH)
Schorlomite,Ca3(TiFe3+)2((SiFe3+)O4)3
Schraufite,C11H16O2
Schreibersite (of Shephard),Cr2S3
Schreibersite,(FeNi)3P
Schreyerite,V3+2Ti3O9
Schröckingerite,NaCa3(UO2)(CO3)3(SO4)F · 10H2O
Schubnelite,Fe3+VO4 · H2O
Schuetteite,Hg2+3(SO4)O2
Schuilingite-(Nd),PbCu(NdGdSmY)(CO3)3(OH) · 1.5H2O
Schulenbergite,(CuZn)7(SO4)2(OH)10 · 3H2O
Schultenite,Pb(HAsO4)
Schumacherite,Bi3(VO4)2O(OH)
Schwartzembergite,Pb5H2(IO2)O4Cl3
Sclarite,(ZnMgMn2+)4Zn3(CO3)2(OH)10
Scolecite,CaAl2Si3O10 · 3H2O
Scorodite,Fe3+AsO4 · 2H2O
Scorzalite,Fe2+Al2(PO4)2(OH)2
Scotlandite,PbSO3
Scrutinyite,α-PbO2
Seamanite,Mn2+3[B(OH)4](PO4)(OH)2
Searlesite,Na(H2BSi2O7)
Sederholmite,beta-NiSe
Sedovite,U(MoO4)2
Seeligerite,Pb3(IO3)OCl3
Seelite,Mg(UO2)(As3+O3)0.7(AsO4)0.3 · 7H2O
Segelerite,Ca2 Mg2 Fe3+2(PO4)4(OH)2 · 8H2O
Segnitite,PbFe3+3AsO4(AsO3OH)(OH)6
Seidozerite,Na4MnZr2Ti(Si2O7)2O2F2
Seinäjokite,(FeNi)(SbAs)2
Sekaninaite,(FeMg)2Al3(AlSi5O18)
Selbite,(Ag2S CaMg(CO3)2 Ag)
Selenium,Se
Selenostephanite,Ag5Sb(SeS)4
Seligmannite,PbCuAsS3
Sellaite,MgF2
Semenovite-(Ce),Na8Ca2FeBe6Ce2Si14O40(OH)4F4
Semseyite,Pb9Sb8S21
Senaite,Pb(MnYU)(FeZn)2(TiFeCrV)18(OOH)38
Senarmontite,Sb2O3
Senegalite,Al2(PO4)(OH)(OH)2 · H2O
Sengierite,Cu2(UO2)2(VO4)2 · 6H2O
Sepiolite,Mg4(Si6O15)(OH)2 · 6H2O
Serandite,NaMn2+2Si3O8(OH)
Serendibite,Ca4[Mg6Al6]O4[Si6B3Al3O36]
Sergeevite,Ca2Mg11(CO3)9(HCO3)4(OH)4•6H2O
Serpierite,Ca(CuZn)4(SO4)2(OH)6 · 3H2O
Shabaite-(Nd),Ca(NdSmY)2(UO2)(CO3)4(OH)2 · 6H2O
Shabynite,Mg5(BO3)(OH)5(ClOH)2 · 4H2O
Shadlunite,(PbCd)(FeCu)8S8
Shafranovskite,Na3K2(MnFeNa)4[Si9(OOH)27](OH)2 · nH2O
Shakhovite,(Hg+2)Hg2+2(Sb3+O3)(OH)3
Shandite,Ni3Pb2S2
Shannonite,Pb2OCO3
Sharpite,Ca(UO2)3(CO3)4 · 3H2O
Shattuckite,Cu5(Si2O6)2(OH)2
Shcherbakovite,(KBa)KNa(TiNb)2(Si4O12)O2
Shcherbinaite,V5+2O5
Sherwoodite,Ca4.5(AlV4+2V5+12O40) · 28H2O
Shigaite,Mn6Al3(OH)18[Na(H2O)6](SO4)2 · 6H2O
Shomiokite-(Y),Na3Y[CO3]3 · 3H2O
Shortite,Na2Ca2(CO3)3
Shubnikovite,Ca2Cu8(AsO4)6(OH)Cl · 7H2O
Shuiskite,Ca2MgCr2(Si2O7)(SiO4)(OH)2 · 2H2O
Siderotil,FeSO4 · 5H2O
Sibirskite,Ca2(HB2O5)(OH)
Sicklerite,Li1-x(Mn3+xMn2+1-x)PO4
Siderazot,Fe5N2
Siderite,FeCO3
Siderogel,~FeO(OH) · nH2O
Sideronatrite,Na2Fe(SO4)2(OH) · 3H2O
Siderophyllite,KFe2+2Al(Al2Si2O10)(OH)2
Sideroplesite,(FeMg)CO3
Sidorenkite,Na3Mn2+(CO3)(PO4)
Sidwillite,MoO3 · 2H2O
Siegenite,CoNi2S4
Sieleckiite,Cu3Al4(PO4)2(OH)12 · 2H2O
Sigloite,Fe3+Al2(PO4)2(OH)3 · 7H2O
Silhydrite,3SiO2 · H2O
Silicon,Si
Silicorhabdophane,(CeAlFe)(PSi)(OOH)4
Silinaite,NaLiSi2O5 · 2H2O
Sillimanite,Al2(SiO4)O
Sillénite,Bi12SiO20
Silver,Ag
Simferite,Li(MgFe3+Mn3+)2(PO4)2
Simonellite,C19H24
Simonite,TlHgAs3S6
Simonkolleite,Zn5Cl2(OH)8 · H2O
Simplotite,CaV4+4O9 · 5H2O
Simpsonite,Al4(TaNb)3O13(OHF)
Sincosite,Ca(VO)2(PO4)2 · 5H2O
Sinhalite,MgAl(BO4)
Sinjarite,CaCl2 · 2H2O
Sinkankasite,Mn2+Al(PO3OH)2(OH) · 6H2O
Sinnerite,Cu6As4S9
Sinoite,Si2N2O
Sitinakite,KNa2Ti4(SiO4)2O5(OH) · 4H2O
Pyroaurite-2H,Mg6Fe3+2(OH)16(CO3) · 4H2O
Skinnerite,Cu3SbS3
Skippenite,Bi2TeSe2
Sklodowskite,Mg(UO2)2(SiO3OH)2 · 6H2O
Skutterudite,CoAs3
Slavíkite,(H3O+)3Mg6Fe15(SO4)21(OH)18 · 98H2O
Slawsonite,Sr(Al2Si2O8)
Smaltite,CoAs3-x
Smirnite,Bi2Te4+O5
Smithite,AgAsS2
Smithsonite,ZnCO3
Smoky Quartz,SiO2
Smolianinovite,Co3Fe3+2(AsO4)4 · 11H2O
Smythite,(FeNi)3+xS4 (x=0-0.3)
Natroboltwoodite,Na(UO2)(SiO3OH) · H2O
Natrouranospinite,(Na2Ca)(UO2)2(AsO4)2 · 5H2O
Natrozippeite,Na5(UO2)8(SO4)4O5(OH)3 · 12H2O
Natropharmacosiderite,(NaK)Fe3+4(AsO4)3(OH)4 · 6-7H2O
Sodium Gedrite,{Na}{Mg2}{Mg3Al2}(Al3Si5O22)(OH)2
Sodium Dachiardite,(Na2CaK2)4-5Al8Si40O96 · 26H2O
Sodium Phlogopite,NaMg3(AlSi3O10)(OH)2
Sobolevite,Na13Ca2Mn2Ti3(Si2O7)2(PO4)4O3F3
Sobolevskite,Pd(BiTe)
Sodalite,Na8(Al6Si6O24)Cl2
Soddyite,(UO2)2SiO4 · 2H2O
Alum-(Na),NaAl(SO4)2 · 12H2O
Sodium-anthophyllite,{Na}{Mg2}{Mg5}(AlSi7O22)(OH)2
Metanatroautunite,Na(UO2)(PO4)(H2O)3
Betpakdalite-NaCa,[Na2(H2O)17Ca(H2O)6][Mo6+8As5+2Fe3+3O34(OH)3]
Sophiite,Zn2(SeO3)Cl2
Sogdianite,K(□Na)2Li3(ZrFeTi)2[Si12O30]
Söhngeite,Ga(OH)3
Solongoite,Ca2(H3B3O7)(OH)Cl
Sonolite,Mn2+9(SiO4)4(OH)2
Sonoraite,Fe3+(TeO3)(OH) · H2O
Sopcheite,Ag4Pd3Te4
Sofiite,Zn2(SeO3)Cl2
Sorbyite,CuPb9(SbAs)11S26
Sørensenite,Na4SnBe2Si6O16(OH)4
Sosedkoite,(KNa)5Al2(TaNb)22O60
Součekite,PbCuBi(SSe)3
Souzalite,(MgFe2+)3(AlFe3+)4(PO4)4(OH)6 · 2H2O
Spadaite,MgSiO2(OH)2 · H2O (?)
Spangolite,Cu6Al(SO4)(OH)12Cl · 3H2O
Spencerite,Zn4(PO4)2(OH)2 · 3H2O
Sperrylite,PtAs2
Spertiniite,Cu(OH)2
Spessartine,Mn2+3Al2(SiO4)3
Spherocobaltite,CoCO3
Sphalerite,ZnS
Spheniscidite,(NH4K)(Fe3+Al)2(PO4)2(OH) · 2H2O
Spinel,MgAl2O4
Spionkopite,Cu39S28
Spiroffite,Mn2+2Te4+3O8
Spodumene,LiAlSi2O6
Spurrite,Ca5(SiO4)2(CO3)
Squawcreekite,Fe3+Sb5+O4
Srebrodolskite,Ca2Fe3+2O5
Srilankite,ZrTi2O6
Stibiotantalite,Sb(TaNb)O4
Strontiojoaquinite,Sr2Ba2(NaFe)2Ti2[Si4O12]2O2(OOH)2 · H2O
Strontioginorite,CaSrB14O20(OH)6 · 5H2O
Strontiowhitlockite,Sr9Mg(PO4)6(HPO4)
Strontiopyrochlore (of Hogarth 1977),A2Nb2(OOH)6Z
Stalderite,Tl(CuAg)(ZnFeHg)2(AsSb)2S6
Stanfieldite,Ca4Mg5(PO4)6
Stanleyite,(V4+O)(SO4) · 6H2O
Stannite,Cu2FeSnS4
Stannoidite,Cu+6Cu2+2(Fe2+Zn)3Sn2S12
Stannopalladinite,(PdCu)3Sn2
Staringite,(FeMn)x(TaNb)2xSn6-3xO12
Starkeyite,MgSO4 · 4H2O
Staurolite,Fe2+2Al9Si4O23(OH)
Steacyite,K0.3(NaCa)2ThSi8O20
Steatite,Mg3(Si4O10)(OH)2
Steenstrupine-(Ce),Na14Mn2+2(Fe3+Mn3+)2Ce6(ZrTh)(Si6O18)2(PO4)6(HPO4)(OH)2 · 2H2O
Fluorstrophite,SrCaSr3(PO4)3F
Stibiopalladinite,Pd5Sb2
Steigerite,Al(VO4) · 3H2O
Stellerite,Ca4(Si28Al8)O72 · 28H2O
Stenhuggarite,CaFeSb(AsO3)2O
Stenonite,(SrBaNa)2Al(CO3)F5
Stepanovite,NaMgFe3+(C2O4)3 · 8-9H2O
Stephanite,Ag5SbS4
Stercorite,Na(NH4)HPO4 · 4H2O
Sterlinghillite,Mn2+3(AsO4)2 · 3H2O
Sternbergite,AgFe2S3
Sterryite,Cu(AgCu)3Pb19(SbAs)22(As-As)S56
Stetefeldtite,Ag2Sb2(OOH)7
Stevensite,(CaNa)xMg3-x(Si4O10)(OH)2
Stewartite (of Sutton),C
Stewartite,Mn2+Fe3+2(PO4)2(OH)2 · 8H2O
Piemontite-(Sr),{CaSr}{Al2Mn3+}(Si2O7)(SiO4)O(OH)
Strontiodresserite,SrAl2(CO3)2(OH)4 · H2O
Stibarsen,AsSb
Stibiconite,Sb3+Sb5+2O6(OH)
Stibiobetafite (of Černý et al.),A2-mD2X6-wZ1-n
Stibiocolumbite,Sb(NbTa)O4
Stibiocolusite,Cu13V(SbSnAs)3S16
Stibioluzonite (of Stevanović),Cu3AsS4
Stibivanite,Sb2VO5
Stibnite,Sb2S3
Stichtite,Mg6Cr3+2(OH)16[CO3] · 4H2O
Stilleite,ZnSe
Stillwaterite,Pd8As3
Stillwellite-(Ce),(CeLaCa)BSiO5
Stilpnomelane,(KCaNa)(Fe2+MgAl)8(SiAl)12(OOH)36 · nH2O
Stishovite,SiO2
Stistaite,SnSb
Stoiberite,Cu5(VO4)2O2
Stokesite,CaSn[Si3O9] · 2H2O
Stolzite,Pb(WO4)
Stottite,Fe2+[Ge4+(OH)6]
Straczekite,(CaKBa)(V5+V4+)8O20 · 3H2O
Strakhovite,NaBa3Mn2+2Mn3+2Si6O19(OH)3
Stranskiite,Zn2Cu(AsO4)2
Strashimirite,Cu8(AsO4)4(OH)4 · 5H2O
Strelkinite,Na2(UO2)2(VO4)2 · 6H2O
Strengite,FePO4 · 2H2O
Stringhamite,CaCu(SiO4) · H2O
Stromeyerite,AgCuS
Stronalsite,Na2SrAl4Si4O16
Strontianite,SrCO3
Strontio-orthojoaquinite,(NaFe)2Sr2Ba2Ti2[Si4O12]2O2(OOH)2 · H2O
Strontioborite,SrB8O11(OH)4
Strontiochevkinite,(SrLaCeCa)4Fe2+(TiZr)2Ti2(Si2O7)2O8
Strätlingite,Ca2Al2SiO7 · 8H2O
Strunzite,Mn2+Fe3+2(PO4)2(OH)2 · 6H2O
Struvite,(NH4)Mg(PO4) · 6H2O
Strüverite,(TiTaFe)O2
Stützite,Ag5-xTe3 x = 0.24-0.36
Studenitsite,NaCa2[B9O14(OH)4] · 2H2O
Studtite,[(UO2)(O2)(H2O)2] · H2O
Stumpflite,Pt(SbBi)
Sturmanite,Ca6(Fe3+AlMn3+)2(SO4)2[B(OH)4](OH)12 · 25H2O
Suanite,Mg2[B2O5]
Sudburyite,(PdNi)Sb
Sudoite,Mg2Al3(Si3Al)O10)(OH)8
Suessite,(FeNi)3Si
Sugilite,K(Na□)2Li3(FeMnAlZr)2[Si12O30]
Sulfoborite,Mg3[B(OH)4]2(SO4)(OHF)2
Sulphohalite,Na6(SO4)2FCl
Sulphotsumoite,Bi3Te2S
Sulphur,S8
Sulvanite,Cu3VS4
Sundiusite,Pb10(SO4)O8Cl2
Suolunite,Ca2(H2Si2O7) · H2O
Surinamite,(MgFe)3Al4BeSi3O16
Surite,(PbCa)3(AlFe2+Mg)2((SiAl)4O10)(CO3)2(OH)2
Sursassite,Mn2+2Al3(SiO4)(Si2O7)(OH)3
Susannite,Pb4(CO3)2(SO4)(OH)2
Sussexite,Mn2+BO2(OH)
Suzukiite,BaVSi2O7
Svabite,Ca5(AsO4)3F
Svanbergite,SrAl3(PO4)(SO4)(OH)6
Sveite,KAl7(NO3)4(OH)16Cl2 · 8H2O
Sverigeite,NaMnMgSnBe2(SiO4)3(OH)
Svyatoslavite,Ca(Al2Si2O8)
Svyazhinite,(MgMn2+Ca)(AlFe3+)(SO4)2F · 14H2O
Swaknoite,(NH4)2Ca(HPO4)2 · H2O
Swamboite-(Nd),Nd0.333[(UO2)(SiO3OH)](H2O)∼2.5
Swartzite,MgCa(UO2)(CO3)3 · 12H2O
Swedenborgite,NaBe4Sb5+O7
Sweetite,Zn(OH)2
Swinefordite,Li(AlLiMg)4((SiAl)4O10)2(OHF)4 · nH2O
Switzerite,Mn2+3(PO4)2 · 7H2O
Sylvanite,(AuAg)2Te4
Sylvite,KCl
Symplesite,Fe2+3(AsO4)2 · 8H2O
Synadelphite,Mn2+9(As5+O4)2(As3+O3)(OH)9 · 2H2O
Synchysite-(Ce),CaCe(CO3)2F
Synchysite-(Nd),CaNd(CO3)2F
Synchysite-(Y),CaY(CO3)2F
Syngenite,K2Ca(SO4)2 · H2O
Szaibélyite,MgBO2(OH)
Szmikite,MnSO4 · H2O
Szomolnokite,FeSO4 · H2O
Szymańskiite,Hg16(NiMg)6(CO3)12(OH)12(H3O)8•3H2O
Schöllhornite,Na0.3CrS2 · H2O
Szenicsite,Cu3(MoO4)(OH)4
Magnesiotaaffeite-2N’2S,Mg3Al8BeO16
Tacharanite,Ca12Al2Si18O33 (OH)36
Tachyhydrite,CaMg2Cl6 · 12H2O
Tadzhikite-(Ce),Ca4Ce3+2Ti◻(B4Si4O22)(OH)2
Taenite,(FeNi)
Taikanite,Sr3BaMn2+2(Si4O12)O2
Taimyrite,(PdCuPt)3Sn
Takanelite,(MnCa)Mn4O9 · H2O
Takedaite,Ca3[BO3]2
Takéuchiite,(MgMn2+)2(Mn3+Fe3+)(BO3)O2
Takovite,Ni6Al2(OH)16[CO3] · 4H2O
Talc,Mg3Si4O10(OH)2
Talmessite,Ca2Mg(AsO4)2 · 2H2O
Talnakhite,Cu9(FeNi)8S16
Tamarugite,NaAl(SO4)2 · 6H2O
Tancoite,LiNa2Al(PO4)(HPO4)(OH)
Taneyamalite,(NaCa)(MnMgFe)12Si12(OOH)44
Tantalaeschynite-(Y),Y(TaTiNb)2O6
Tantalite,(MnFe)(TaNb)2O6
Tanteuxenite-(Y),Y(TaNbTi)2(OOH)6
Tantite,Ta2O5
Tanzanite,{Ca2}{Al3}(Si2O7)(SiO4)O(OH)
Tapiolite,(FeMn)(TaNb)2O6
Taramellite,Ba4(Fe3+TiFe2+Mg)4(B2Si8O27)O2Clx
Taramite Root Name,A(CaNa)(Z2+3Z3+2)(Al2Si6O22)(OHFCl)2
Taranakite,(KNH4)Al3(PO4)3(OH) · 9H2O
Tarapacáite,K2(CrO4)
Tarbuttite,Zn2(PO4)(OH)
Plumboan Aragonite,(CaPb)CO3
Tatarskite,Ca6Mg2(SO4)2(CO3)2(OH)4Cl4 · 7H2O
Tausonite,SrTiO3
Tavorite,LiFe3+(PO4)(OH)
Tazheranite,(ZrTiCa)O2-x
Tellurohauchecornite,Ni9Bi(TeBi)S8
Telluropalladinite,Pd9Te4
Teallite,PbSnS2
Teepleite,Na2[B(OH)4]Cl
Teineite,Cu2+(Te4+O3) · 2H2O
Telargpalite,(PdAg)3(TeBi)
Tellurantimony,Sb2Te3
Tellurite,TeO2
Tellurium,Te
Tellurobismuthite,Bi2Te3
Temagamite,Pd3HgTe3
Tengchongite,CaO · 6UO3 · 2MoO3 · 12H2O
Tengerite-(Y),Y2(CO3)3 · 2-3H2O
Tennantite,Cu6[Cu4(FeZn)2]As4S13
Tenorite,CuO
Tephroite,Mn2+2SiO4
Terlinguaite,(Hg2+2)Hg2+2Cl2O2
Terskite,Na4ZrSi6O16 · 2H2O
Tertschite,Ca4B10O19 · 20H2O
Teruggite,Ca4Mg[AsO4|B6O7(OH)6]2 · 12H2O
Teschemacherite,(NH4)HCO3
Testibiopalladite,PdTe(SbTe)
Tetra-auricupride,AuCu
Tetradymite,Bi2Te2S
Tetraferriphlogopite,KMg3(Fe3+Si3O10)(OHF)2
Tetraferroplatinum,PtFe
Tetrahedrite,Cu6[Cu4(FeZn)2]Sb4S13
Tetrarooseveltite,Bi(AsO4)
Tetrataenite,FeNi
Tetrawickmanite,Mn2+[Sn4+(OH)6]
Thadeuite,Ca(MgFe2+)3(PO4)2(OHF)2
Thalcusite,Tl2Cu3FeS4
Thalénite-(Y),Y3Si3O10F
Thalfenisite,Tl6(FeNiCu)25S26Cl
Thaumasite,Ca3(SO4)[Si(OH)6](CO3) · 12H2O
Theisite,Cu5Zn5(AsO4SbO4)2(OH)14
Thénardite,Na2SO4
Theophrastite,Ni(OH)2
Theresmagnanite,NaCo4(SO4)(OH)6Cl·6H2O
Thermonatrite,Na2CO3 · H2O
Thometzekite,PbCu2+2(AsO4)2 · 2H2O
Thomsenolite,NaCa[AlF6] · H2O
Thomsonite-Ca,NaCa2[Al5Si5O20] · 6H2O
Thorbastnäsite,ThCa(CO3)2F2 · 3H2O
Thoreaulite,(Sn2+Pb)(TaNb)2O6
Thorianite,ThO2
Thorikosite,Pb3Cl2(OH)(SbO3AsO3)
Thorite,Th(SiO4)
Thornasite,(NaK)12Th3[Si8O19]4 · 18H2O
Thorogummite,(ThU)(SiO4)1-x(OH)4x
Thorosteenstrupine,(CaThMn)3Si4O11F · 6H2O
Thortveitite,Sc2Si2O7
Thorutite,(ThUCa)Ti2(OOH)6
Threadgoldite,Al(UO2)2(PO4)2(OH) · 8H2O
Thulite,{Ca2}{AlMn3+3}(Si2O7)(SiO4)O(OH)
Thuringite,(FeFeMgAl)6(SiAl)4O10(OOH)8
Tiemannite,HgSe
Tienshanite,KNa3Na6Ca2Ba6Mn6(Ti4+Nb)6B12Si36O114(OOHF)11
Tiettaite,(NaK)17FeTiSi16O29(OH)30 · 2H2O
Tikhonenkovite,Sr[AlF4(OH)(H2O)]
Tilasite,CaMg(AsO4)F
Tile ore,Cu2O
Tilleyite,Ca5(Si2O7)(CO3)2
Tin,Sn
Tinaksite,K2Na(CaMn2+)2Ti[O|Si7O18(OH)]
Tincalconite,Na2(B4O7) · 5H2O
Tinnuculite,C10H12N8O8
Tinsleyite,KAl2(PO4)2(OH) · 2H2O
Tinticite,Fe3+5.34(PO4)3.62(VO4)0.38(OH)4 · 6.7H2O
Tintinaite,Pb22Cu4(SbBi)30S69
Tinzenite,Ca2Mn2+4Al4[B2Si8O30](OH)2
Tiptopite,K2(NaCa)2Li3Be6(PO4)6(OH)2 · H2O
Tiragalloite,Mn2+4As5+Si3O12(OH)
Tisinalite,Na3H3(MnCaFe)TiSi6(OOH)18 · 2H2O
Titanite,CaTi(SiO4)O
Titaniferous Magnetite,Fe2+(Fe3+Ti)2O4
Titanowodginite,Mn2+TiTa2O8
Titantaramellite,Ba4(TiFe3+Fe2+Mg)4(B2Si8O27)O2Clx
Tivanite,V3+TiO3(OH)
Tlalocite,Cu10Zn6(Te6+O4)2(Te4+O3)(OH)25Cl · 27H2O
Tlapallite,(CaPb)3CaCu6[Te4+3Te6+O12]2(Te4+O3)2(SO4)2·3H2O
Tobelite,(NH4K)Al2(AlSi3O10)(OH)2
Tobermorite,[Ca4Si6O17 · 2H2O]·(Ca·3H2O)
Tochilinite,Fe2+5-6(MgFe2+)5S6(OH)10
Tocornalite,(AgHg)I
Todorokite,(NaCaKBaSr)1-x(MnMgAl)6O12 · 3-4H2O
Tokkoite,K2Ca4[Si7O18(OH)](OHF)
Tolbachite,CuCl2
Tolovkite,IrSbS
Tombarthite-(Y),Y4(SiH4)4O12-x(OH)4+2x
Tomichite,(VFe)4Ti3AsO13(OH)
Tongbaite,Cr3C2
Tooeleite,Fe3+6(As3+O3)4(SO4)(OH)4 · 4H2O
Topaz,Al2(SiO4)(FOH)2
Torbernite,Cu(UO2)2(PO4)2 · 12H2O
Törnebohmite-(Ce),(CeLa)2Al(SiO4)2(OH)
Törnebohmite-(La),(LaCe)2Al(SiO4)2(OH)
Torreyite,(MgMn2+)7☐2Mn2+2Zn4(SO4)2(OH)22 · 8H2O
Tosudite,Na0.5(AlMg)6((SiAl)8O18)(OH)12 · 5H2O
Tounkite,(NaCaK)8(Al6Si6O24)(SO4)2Cl · H2O
Tourmaline,A(D3)G6(T6O18)(BO3)3X3Z
Toyohaite,Ag2FeSn3S8
Trabzonite,Ca4(Si3O9)(OH)2
Tranquillityite,(Fe2+Ca)8(ZrY)2Ti3(SiO4)3O12
Traskite,Ba21Ca(Fe2+MnTi)4(TiFeMg)12(Si12O36)(Si2O7)6(OOH)30Cl6·14H2O
Treasurite,Ag7Pb6Bi15S32
Trechmannite,AgAsS2
Trembathite,(MgFe)3(B7O13)Cl
Tremolite,☐{Ca2}{Mg5}(Si8O22)(OH)2
Trevorite,Ni2+Fe3+2O4
Trögerite,(H3O)(UO2)(AsO4) · 3H2O
Triangulite,Al3(UO2)4(PO4)4(OH)5 · 5H2O
Tridymite,SiO2
Trigonite,Pb3Mn2+(AsO3)2(HAsO3)
Trikalsilite,(KNa)AlSiO4
Trimerite,CaMn2+2Be3(SiO4)3
Trimounsite-(Y),Y2Ti2(SiO4)O5
Triphylite,LiFe2+PO4
Triplite,(Mn2+Fe2+)2(PO4)(FOH)
Triploidite,(Mn2+Fe2+)2(PO4)(OH)
Trippkeite,Cu2+As3+2O4
Tripuhyite,Fe3+Sb5+O4
Tristramite,(CaUFe)(PO4SO4) · 2H2O
Tritomite-(Ce),Ce5(SiO4BO4)3(OHO)
Tritomite-(Y),Y5(SiO4BO4)3(OOHF)
Trogtalite,CoSe2
Troilite,FeS
Trolleite,Al4(PO4)3(OH)3
Trona,Na3H(CO3)2 · 2H2O
Trüstedtite,Ni3Se4
Truscottite,(CaMn)14Si24O58(OH)8 · 2H2O
Tsaregorodtsevite,(N(CH3)4)(AlSi5O12)
Tschermakite,☐(Ca2)(Mg3Al2)(Al2Si6O22)(OH)2
Tschermigite,(NH4)Al(SO4)2 · 12H2O
Tschernichite,(CaNa2)[Al2Si4O12] · 4-8H2O
Tsnigriite,Ag9SbTe3(SSe)3
Tsumcorite,PbZn2(AsO4)2 · 2H2O
Tsumebite,Pb2Cu(PO4)(SO4)(OH)
Tsumoite,BiTe
Tučekite,Ni9Sb2S8
Tugarinovite,MoO2
Tugtupite,Na4BeAlSi4O12Cl
Tuhualite,NaFe2+Fe3+Si6O15
Tulameenite,Pt2CuFe
Tuliokite,Na6BaTh(CO3)6 · 6H2O
Tundrite-(Ce),Na2Ce2Ti(SiO4)(CO3)2O2
Tundrite-(Nd),Na2(NdCe)2Ti(SiO4)(CO3)2O2
Tunellite,SrB6O9(OH)2 · 3H2O
Tungstenite,WS2
Tungstibite,Sb3+2WO6
Tungstite,WO3 · H2O
Tungusite,Ca4Fe2Si6O15(OH)6
Tunisite,NaCa2Al4(CO3)4(OH)8Cl
Tuperssuatsiaite,Na2Fe3Si8O20(OH)2 · 4H2O
Turanite,Cu5(VO4)2(OH)4
Turneaureite,Ca5(AsO4)3Cl
Turquoise,Cu(AlFe3+)6(PO4)4(OH)8 · 4H2O
Tuscanite,(K(CaNa)6(SiAl)10O22[SO4CO3(OH)2] · H2O
Tusionite,Mn2+Sn4+[BO3]2
Tuzlaite,NaCaB5O8(OH)2 · 3H2O
Tvalchrelidzeite,Hg3SbAsS3
Tvedalite,(CaMn)4Be3Si6O17(OH)4 · 3H2O
Tveitite-(Y),(Y Na)6Ca6Ca6F42
Twinnite,Pb0.8Tl0.1Sb1.3As0.8S4
Tychite,Na6Mg2(CO3)4(SO4)
Tyretskite,Ca2B5O9OH · H2O
Tyrolite,Ca2Cu9(AsO4)4(CO3)(OH)8 · 11H2O
Tyrrellite,Cu(Co3+Ni3+)2Se4
Tyuyamunite,Ca(UO2)2(VO4)2 · 5-8H2O
Tangeite,CaCu(VO4)(OH)
Uchucchacuaite,AgMnPb3Sb5S12
Udokanite,Cu8(SO4)3(OH)10 · H2O
Uduminelite,Ca3Al8(PO4)2O12 · 2H2O
Ugrandite,Ca3X2(SiO4)3
Uhligite,Ca3(TiAlZr)9O20 ?
Uklonskovite,NaMg(SO4)F · 2H2O
