Adularia,KAlSi3O8
Argentocosalite,Pb2-x(AgCu)2xBi2S5
Argutite,GeO2
Argyrodite,Ag8GeS6
Argyropyrite,near Ag2Fe7S11
Arhbarite,Cu2Mg(AsO4)(OH)3
Aristarainite,Na2MgB12O20 · 8H2O
Arite,Ni(SbAs)
Mangano-magnesian Alum,MgAl2(SO4)4 · 22H2O
Armalcolite,(MgFe2+)Ti2O5
Armangite,Mn2+26(AsO3)14(HAsO3)4(CO3)
Armenite,BaCa2Al6Si9O30 · 2H2O
Armstrongite,CaZr[Si6O15] · 3H2O
Arnimite,Cu3(SO4)(OH)4
Aromite (of Darapsky),near Mg6Al2(SO4)9 · 54H2O
Arquerite,(AgHg)
Arrhenite,(Y Er Ca Zr Ta Si O)
Arrojadite-(KFe),{KNa}{Fe2+◻}{Ca}{Na2◻}{Fe2+13}{Al}(PO4)11(HPO4)(OH)2
Arsenantimonnickelkies,NiAsS
Antimonian Gersdorffite,Ni(AsSb)S
Arsenargentite,near Ag3As
Arsenbrackenbuschite,Pb2Fe3+(AsO4)2(OH)
Arsendescloizite,PbZn(AsO4)(OH)
Arsenic,As
Arsenioardennite,Mn2+4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6
Arseniopleite,(CaNa)NaMn2+(Mn2+MgFe2+)2(AsO4)3
Arseniosiderite,Ca2Fe3+3(AsO4)3O2 · 3H2O
Arsenmiargyrite,Ag(SbAs)S2
Arsennickeleisen,(NiFe)As2
Arsenoclasite,Mn2+5(AsO4)2(OH)4
Arsenocrandallite,CaAl3(AsO4)(AsO3OH)(OH)6
Arsenoflorencite-(Ce),CeAl3(AsO4)2(OH)6
Arsenschwefel,As2S3 · H2O
Arsenstruvite,NH4MgAsO4 · 6H2O
Arsensulfurite,(SAs)8
Arsentsumebite,Pb2Cu(AsO4)(SO4)(OH)
Arsenuranospathite,Al[(UO2)(AsO4)]2F(H2O)20
Arsenuranylite,Ca(UO2)4(AsO4)2(OH)4 · 6H2O
Arshinovite,Zr(SiO4)
Arthurite,CuFe3+2(AsO4)2(OH)2 · 4H2O
Artinite,Mg2(CO3)(OH)2 · 3H2O
Artroeite,Pb[AlF3(OH)2]
Arupite,Ni3(PO4)2 · 8H2O
Arzakite,Hg2+3S2(BrCl)2
Arzrunite,Cu4Pb2(SO4)(OH)4Cl6 · 2H2O (?)
Asbecasite,Ca3(TiSn4+)Be2(AsO3)6(SiO4)2
Asbolane,(NiCo)2-xMn4+(OOH)4 · nH2O
Aschamalmite,Pb6Bi2S9
Ashanite,(NbTaUFeMn)4O8
Ashburtonite,Pb4Cu4(Si4O12)(HCO3)4(OH)3Cl · H2O
Ashcroftine-(Y),K5Na5(YCa)12Si28O70(OH)2(CO3)8 · 8H2O
Asisite,Pb7SiO9Cl2
Askanite,(NaCa)0.33(AlMg)2(Si4O10)(OH)2 · nH2O
Asperolite,near CuSiO3 · 3H2O
Na-Phlogopite,NaMg3(AlSi3O10)(OH)2
Asselbornite,Pb(BiO)3(UO2)4(AsO4)2(OH)7·4H2O
Star Quartz,SiO2
Asteriated Sapphire,Al2O3
Asteroite,(CaNa)(MgFe2+AlFe3+Ti)[(SiAl)2O6]
Astochite,{Na}{Na(CaMn)}{Mg5}(Si8O22)(OH)2
Astrocyanite-(Ce),Cu2(CeNdLa)2(UO2)(CO3)5(OH)2 · 1.5H2O
Astrophyllite,K2NaFe2+7Ti2Si8O28(OH)4F
Atacamite,Cu2(OH)3Cl
Atelestite,Bi2(AsO4)O(OH)
Athabascaite,Cu5Se4
Atheneite,Pd2As0.75Hg0.25
Atheriastite,near Ca5MgFeAl6Si8O32 · 5H2O
Atlasite,near Cu15(CO3)6Cl2(OH)16 · H2O
Atlasovite,K(BiO)Cu6Fe3+(SO4)5O3Cl
Atokite,(PdPt)3Sn
Atopite,(CaNa)2Sb2(OFOH)7
Attakolite,(CaSr)Mn(AlFe)4(HPO4PO4)3(SiO4PO4)(OH)4
Aubertite,CuAl(SO4)2Cl · 14H2O
Auerbachite,Zr(SiO4)
Auerlite,near Th(SiP)O4
Augite,(CaxMgyFez)(Mgy1Fez1)Si2O6
Aurichalcite,(ZnCu)5(CO3)2(OH)6
Auricupride,Cu3Au
Auriferous Pyrite,FeS2
Auroantimonite,AuSbO3
Aurorite,(Mn2+AgCa)Mn4+3O7 · 3H2O
Aurosmiridium,(IrOsAu)
Aurostibite,AuSb2
Austenite,(FeC)
Austinite,CaZn(AsO4)(OH)
Autunite,Ca(UO2)2(PO4)2 · 11H2O
Avaite,(PtIr)
Avalite,KAl2(AlSi3O10)(OH)2
Aventurine,SiO2
